# CEM I 52.5 R Cizkovice, w/b 0.50 -- the calibration target -- measured against published and calibrated
# produced by scripts/precompute_docs.jl -- do not edit by hand
# ChemistryLab version: 0.18.0
# commit: 4d3d7aad
# generated: 2026-09-12 08:22
# instants: 20 log-spaced over 10.93 days
# w/b 0.50, Blaine default, 20 C, 1 kg of binder
# clinker (mass fractions): (C3S = 0.65, C2S = 0.11, C3A = 0.11, C4AF = 0.08)
# measured data: Smilauer & Reiterman (2025), Zenodo
#   10.5281/zenodo.15212785, CC-BY-4.0
# Q_prior: published Parrott-Killoh parameters, untouched
# Q_fit:   CALIBRATED_THETA of scripts/hydration_calibration.jl
time_s,Q_measured,Q_prior,Q_fit,Q_depositors_fit
3.682850e+03,7.603914e-02,0.000000e+00,0.000000e+00,0.000000e+00
4.919706e+03,1.136003e+00,1.837223e+00,1.145236e+00,1.879000e-01
6.629958e+03,2.466101e+00,4.673851e+00,2.852332e+00,5.448000e-01
8.901707e+03,4.176983e+00,9.069428e+00,5.316125e+00,1.305100e+00
1.185469e+04,6.887519e+00,1.608655e+01,8.980342e+00,2.995800e+00
1.583122e+04,1.234236e+01,2.812690e+01,1.561529e+01,7.988700e+00
2.131306e+04,2.534293e+01,4.984676e+01,3.212471e+01,2.316820e+01
2.846951e+04,5.289727e+01,7.849130e+01,6.844156e+01,5.644250e+01
3.804094e+04,1.027899e+02,1.080747e+02,1.070436e+02,1.064950e+02
5.073059e+04,1.591988e+02,1.383264e+02,1.391312e+02,1.518286e+02
6.855665e+04,1.941213e+02,1.703326e+02,1.719195e+02,1.954033e+02
9.149554e+04,2.232066e+02,2.007524e+02,2.036994e+02,2.277667e+02
1.221507e+05,2.533910e+02,2.305614e+02,2.363127e+02,2.575589e+02
1.631188e+05,2.861846e+02,2.589147e+02,2.687753e+02,2.821096e+02
2.202287e+05,3.139450e+02,2.863551e+02,2.986902e+02,3.068274e+02
2.940480e+05,3.334623e+02,3.106906e+02,3.239657e+02,3.263562e+02
3.925805e+05,3.476594e+02,3.329341e+02,3.462934e+02,3.451201e+02
5.240689e+05,3.586089e+02,3.531224e+02,3.660633e+02,3.609107e+02
7.075466e+05,3.680322e+02,3.720282e+02,3.842426e+02,3.758877e+02
9.447031e+05,3.760080e+02,3.883622e+02,3.997426e+02,3.889202e+02
