# the same paste with the limestone removed -- volume fractions of the phase families, pH, porosity
# produced by scripts/precompute_docs.jl -- do not edit by hand
# ChemistryLab version: 0.18.0
# commit: abd6a4a6
# generated: 2026-09-12 01:19
# instants: 80 log-spaced over 28.0 days
# w/b 0.50, Blaine default, 20 C, 1 kg of binder
# clinker (mass fractions): (C3S = 0.65, C2S = 0.11, C3A = 0.11, C4AF = 0.08)
# certified: 74 of 80 replayed instants proved optimal against the KKT conditions
time_s,AFm,AFt,C-S-H,CH,FH3,anhydrous,calcite,gypsum,hydrogarnet,void,water,pore_pH,poro_liquid,poro_void,poro_total
4.320000e+03,5.280328e-13,1.018653e-02,1.613569e-05,2.385983e-08,4.366907e-05,3.524139e-01,0.000000e+00,1.605723e-02,1.199454e-08,4.132599e-03,6.171499e-01,11.492461,0.617155,0.004133,0.621287
4.680270e+03,3.495629e-08,1.118794e-02,1.455663e-08,7.015308e-10,4.912175e-05,3.522804e-01,0.000000e+00,1.548903e-02,1.794585e-08,4.400322e-03,6.165931e-01,11.635629,0.616593,0.004400,0.620993
5.070586e+03,3.178524e-08,1.228637e-02,7.266675e-06,1.001027e-09,5.506642e-05,3.521325e-01,0.000000e+00,1.489611e-02,1.686535e-08,4.664064e-03,6.159585e-01,11.704668,0.615961,0.004664,0.620625
5.493452e+03,4.104015e-08,1.349090e-02,2.150114e-05,3.685006e-09,6.172885e-05,3.519683e-01,0.000000e+00,1.427934e-02,1.627646e-08,4.934799e-03,6.152434e-01,11.772966,0.615250,0.004935,0.620185
5.951583e+03,3.809183e-08,1.481145e-02,4.205355e-05,6.417846e-09,6.919452e-05,3.517852e-01,0.000000e+00,1.363992e-02,1.405906e-08,5.214062e-03,6.144380e-01,11.849330,0.614451,0.005214,0.619665
6.447921e+03,2.980551e-08,1.625875e-02,6.284383e-05,7.428608e-09,7.756322e-05,3.515803e-01,0.000000e+00,1.297944e-02,1.083410e-08,5.506959e-03,6.135341e-01,11.944607,0.613553,0.005507,0.619060
6.985651e+03,0.000000e+00,1.784446e-02,1.120762e-04,0.000000e+00,8.693988e-05,3.513496e-01,0.000000e+00,1.229993e-02,0.000000e+00,5.800264e-03,6.125068e-01,12.031560,0.612541,0.005800,0.618341
7.568226e+03,0.000000e+00,1.958089e-02,1.782900e-04,0.000000e+00,9.743446e-05,3.510878e-01,0.000000e+00,1.160384e-02,0.000000e+00,6.104994e-03,6.113467e-01,12.131853,0.611401,0.006105,0.617506
8.199385e+03,0.000000e+00,2.148179e-02,2.689896e-04,0.000000e+00,1.091912e-04,3.507883e-01,0.000000e+00,1.089409e-02,0.000000e+00,6.424302e-03,6.100333e-01,12.244535,0.610115,0.006424,0.616540
8.883180e+03,0.000000e+00,2.356176e-02,3.956256e-04,0.000000e+00,1.223605e-04,3.504419e-01,0.000000e+00,1.017406e-02,0.000000e+00,6.762762e-03,6.085415e-01,12.367305,0.608662,0.006763,0.615425
9.624001e+03,0.000000e+00,2.583653e-02,5.745349e-04,0.000000e+00,1.371106e-04,3.500364e-01,0.000000e+00,9.447583e-03,0.000000e+00,7.127745e-03,6.068401e-01,12.497978,0.607015,0.007128,0.614143
1.042660e+04,0.000000e+00,2.832296e-02,8.285936e-04,0.000000e+00,1.536289e-04,3.495552e-01,0.000000e+00,8.718949e-03,0.000000e+00,7.530717e-03,6.048900e-01,12.634636,0.605142,0.007531,0.612673
1.129614e+04,0.000000e+00,3.103909e-02,1.189035e-03,6.080555e-05,1.721252e-04,3.489757e-01,0.000000e+00,7.992832e-03,0.000000e+00,7.896364e-03,6.026740e-01,12.719550,0.603036,0.007896,0.610932
1.223819e+04,0.000000e+00,3.396113e-02,1.699170e-03,2.568995e-04,1.928330e-04,3.482735e-01,0.000000e+00,7.274244e-03,0.000000e+00,8.139539e-03,6.002027e-01,12.719820,0.600720,0.008140,0.608860
1.325881e+04,0.000000e+00,3.705113e-02,2.417860e-03,5.318657e-04,2.160123e-04,3.474160e-01,0.000000e+00,6.568454e-03,0.000000e+00,8.385602e-03,5.974131e-01,12.720205,0.598149,0.008386,0.606535
1.436454e+04,0.000000e+00,4.031417e-02,3.421779e-03,9.149335e-04,2.419529e-04,3.463532e-01,0.000000e+00,5.880874e-03,0.000000e+00,8.639613e-03,5.942335e-01,12.720736,0.595276,0.008640,0.603915
1.556248e+04,0.000000e+00,4.375513e-02,4.809504e-03,1.443812e-03,2.709771e-04,3.450209e-01,0.000000e+00,5.216940e-03,0.000000e+00,8.909132e-03,5.905736e-01,12.721468,0.592038,0.008909,0.600947
1.686033e+04,0.000000e+00,4.737855e-02,6.703620e-03,2.165550e-03,3.034433e-04,3.433396e-01,0.000000e+00,4.581958e-03,0.000000e+00,9.204597e-03,5.863227e-01,12.722485,0.588364,0.009205,0.597569
1.826641e+04,0.000000e+00,5.118860e-02,9.250308e-03,3.136427e-03,3.397494e-04,3.412143e-01,0.000000e+00,3.980941e-03,0.000000e+00,9.539441e-03,5.813503e-01,12.723943,0.584167,0.009539,0.593707
