# CEM I with 3.5 % limestone filler -- isothermal calorimetry at 20 C, per gram of binder
# produced by scripts/precompute_docs.jl -- do not edit by hand
# ChemistryLab version: 0.18.0
# commit: abd6a4a6
# generated: 2026-09-12 01:16
# instants: 80 log-spaced over 28.0 days
# w/b 0.50, Blaine default, 20 C, 1 kg of binder
# clinker (mass fractions): (C3S = 0.65, C2S = 0.11, C3A = 0.11, C4AF = 0.08)
time_s,Q_J_per_g,heat_flow_W_per_g
4.320000e+03,0.000000e+00,1.379354e-03
4.680270e+03,4.969403e-01,1.392532e-03
5.070586e+03,1.045214e+00,1.419265e-03
5.493452e+03,1.651061e+00,1.446036e-03
5.951583e+03,2.319169e+00,1.475548e-03
6.447921e+03,3.059426e+00,1.510439e-03
6.985651e+03,3.881065e+00,1.549377e-03
7.568226e+03,4.795200e+00,1.593787e-03
8.199385e+03,5.815498e+00,1.645629e-03
8.883180e+03,6.959127e+00,1.707497e-03
9.624001e+03,8.248026e+00,1.782671e-03
1.042660e+04,9.710543e+00,1.871863e-03
1.129614e+04,1.137804e+01,1.954669e-03
1.223819e+04,1.325160e+01,2.039165e-03
1.325881e+04,1.538024e+01,2.153199e-03
1.436454e+04,1.783004e+01,2.302907e-03
1.556248e+04,2.068539e+01,2.492504e-03
1.686033e+04,2.405081e+01,2.723934e-03
1.826641e+04,2.805071e+01,2.995455e-03
1.978975e+04,3.282577e+01,3.300259e-03
2.144014e+04,3.852484e+01,3.625706e-03
2.322816e+04,4.529241e+01,3.928415e-03
2.516529e+04,5.315878e+01,4.040386e-03
2.726397e+04,6.159867e+01,3.895126e-03
2.953768e+04,7.018978e+01,3.600696e-03
3.200100e+04,7.865525e+01,3.325908e-03
3.466975e+04,8.725858e+01,3.109853e-03
3.756106e+04,9.594624e+01,2.893099e-03
4.069350e+04,1.046859e+02,2.683729e-03
4.408717e+04,1.134606e+02,2.485866e-03
4.776386e+04,1.222619e+02,2.300872e-03
5.174717e+04,1.310852e+02,2.128678e-03
5.606268e+04,1.399274e+02,1.966300e-03
6.073808e+04,1.487641e+02,1.811683e-03
6.580338e+04,1.575744e+02,1.666603e-03
7.129111e+04,1.663518e+02,1.531959e-03
7.723650e+04,1.750895e+02,1.407128e-03
8.367771e+04,1.837813e+02,1.291511e-03
9.065609e+04,1.924211e+02,1.184537e-03
9.821643e+04,2.010030e+02,1.085576e-03
1.064073e+05,2.095202e+02,9.938859e-04
1.152812e+05,2.179634e+02,9.078622e-04
1.248952e+05,2.263047e+02,8.259531e-04
1.353109e+05,2.345070e+02,7.494003e-04
1.465953e+05,2.425667e+02,6.794515e-04
1.588208e+05,2.504808e+02,6.156161e-04
1.720658e+05,2.582468e+02,5.572524e-04
1.864154e+05,2.658580e+02,5.038125e-04
2.019616e+05,2.733087e+02,4.550504e-04
2.188044e+05,2.805966e+02,4.106983e-04
2.370518e+05,2.877201e+02,3.704055e-04
2.568209e+05,2.946781e+02,3.338416e-04
2.782388e+05,3.014701e+02,3.006970e-04
3.014427e+05,3.080958e+02,2.706819e-04
3.265818e+05,3.145556e+02,2.435265e-04
3.538174e+05,3.208504e+02,2.189803e-04
3.833243e+05,3.269811e+02,1.968112e-04
4.152920e+05,3.329493e+02,1.768046e-04
4.499257e+05,3.387566e+02,1.587630e-04
4.874476e+05,3.444049e+02,1.425047e-04
5.280988e+05,3.498966e+02,1.278629e-04
5.721401e+05,3.552340e+02,1.146849e-04
6.198542e+05,3.604196e+02,1.028312e-04
6.715475e+05,3.654561e+02,9.217433e-05
7.275518e+05,3.703465e+02,8.259822e-05
7.882266e+05,3.750936e+02,7.399730e-05
8.539615e+05,3.797005e+02,6.627558e-05
9.251784e+05,3.841702e+02,5.934602e-05
1.002335e+06,3.885058e+02,5.312968e-05
1.085925e+06,3.927106e+02,4.755510e-05
1.176487e+06,3.967877e+02,4.255767e-05
1.274601e+06,4.007402e+02,3.807899e-05
1.380897e+06,4.045714e+02,3.406635e-05
1.496059e+06,4.082845e+02,3.047218e-05
1.620824e+06,4.118825e+02,2.725362e-05
1.755994e+06,4.153686e+02,2.437208e-05
1.902437e+06,4.187460e+02,2.179279e-05
2.061092e+06,4.220176e+02,1.948452e-05
2.232979e+06,4.251864e+02,1.741915e-05
2.419200e+06,4.282555e+02,1.648082e-05
