# CEM I with 3.5 % limestone filler -- volume fractions of the phase families, pH, porosity
# produced by scripts/precompute_docs.jl -- do not edit by hand
# ChemistryLab version: 0.18.0
# commit: e2996fd0
# generated: 2026-09-12 10:50
# instants: 80 log-spaced over 28.0 days
# w/b 0.50, Blaine default, 20 C, 1 kg of binder
# clinker (mass fractions): (C3S = 0.65, C2S = 0.11, C3A = 0.11, C4AF = 0.08)
# certified: 79 of 80 replayed instants proved optimal against the KKT conditions
time_s,AFm,AFt,C-S-H,CH,FH3,anhydrous,calcite,gypsum,hydrogarnet,void,water,pore_pH,poro_liquid,poro_void,poro_total
4.320000e+03,3.708928e-08,9.783047e-03,2.012039e-07,1.957464e-08,4.205192e-05,3.384591e-01,1.036095e-02,1.600872e-02,3.210684e-09,1.245698e-02,6.128888e-01,11.695714,0.612889,0.012457,0.625346
4.680270e+03,0.000000e+00,1.074529e-02,0.000000e+00,0.000000e+00,4.720689e-05,3.383309e-01,9.994323e-03,1.544224e-02,0.000000e+00,1.326458e-02,6.121754e-01,11.742055,0.612175,0.013265,0.625440
5.070586e+03,0.000000e+00,1.180019e-02,0.000000e+00,0.000000e+00,5.291255e-05,3.381889e-01,9.611744e-03,1.485112e-02,0.000000e+00,1.410761e-02,6.113875e-01,11.798351,0.611388,0.014108,0.625495
5.493452e+03,0.000000e+00,1.295699e-02,3.758680e-06,0.000000e+00,5.930672e-05,3.380312e-01,9.213770e-03,1.423621e-02,0.000000e+00,1.498305e-02,6.105157e-01,11.858993,0.610517,0.014983,0.625500
5.951583e+03,0.000000e+00,1.422520e-02,2.944051e-05,0.000000e+00,6.647206e-05,3.378554e-01,8.801181e-03,1.359871e-02,0.000000e+00,1.587936e-02,6.095443e-01,11.906642,0.609553,0.015879,0.625433
6.447921e+03,0.000000e+00,1.561511e-02,6.351619e-05,0.000000e+00,7.450109e-05,3.376586e-01,8.375009e-03,1.294024e-02,0.000000e+00,1.680515e-02,6.084679e-01,11.965909,0.608487,0.016805,0.625292
6.985651e+03,0.000000e+00,1.713786e-02,1.093457e-04,0.000000e+00,8.349727e-05,3.374369e-01,7.936554e-03,1.226278e-02,0.000000e+00,1.775907e-02,6.072740e-01,12.038716,0.607307,0.017759,0.625066
7.568226e+03,0.000000e+00,1.880554e-02,1.718800e-04,0.000000e+00,9.357630e-05,3.371856e-01,7.487401e-03,1.156879e-02,0.000000e+00,1.874003e-02,6.059472e-01,12.126102,0.606000,0.018740,0.624740
8.199385e+03,0.000000e+00,2.063116e-02,2.584696e-04,0.000000e+00,1.048675e-04,3.368979e-01,7.029431e-03,1.086118e-02,0.000000e+00,1.974756e-02,6.044694e-01,12.227781,0.604548,0.019748,0.624296
8.883180e+03,0.000000e+00,2.262877e-02,3.799046e-04,0.000000e+00,1.175154e-04,3.365653e-01,6.564828e-03,1.014332e-02,0.000000e+00,2.078235e-02,6.028180e-01,12.342202,0.602934,0.020782,0.623716
9.624001e+03,0.000000e+00,2.481347e-02,5.516963e-04,0.000000e+00,1.316814e-04,3.361758e-01,6.096069e-03,9.419043e-03,0.000000e+00,2.184717e-02,6.009651e-01,12.467068,0.601133,0.021847,0.622980
1.042660e+04,0.000000e+00,2.720144e-02,7.957124e-04,0.000000e+00,1.475457e-04,3.357136e-01,5.625917e-03,8.692610e-03,0.000000e+00,2.294805e-02,5.988751e-01,12.599914,0.599117,0.022948,0.622066
1.129614e+04,0.000000e+00,2.981001e-02,1.142125e-03,2.828632e-05,1.653094e-04,3.351571e-01,5.157389e-03,7.968687e-03,0.000000e+00,2.405444e-02,5.965166e-01,12.712396,0.596864,0.024054,0.620919
1.223819e+04,0.000000e+00,3.261635e-02,1.632072e-03,2.160537e-04,1.851973e-04,3.344827e-01,4.693719e-03,7.252270e-03,0.000000e+00,2.499564e-02,5.939260e-01,12.712179,0.594423,0.024996,0.619419
1.325881e+04,0.000000e+00,3.558399e-02,2.322316e-03,4.794908e-04,2.074588e-04,3.336591e-01,4.238306e-03,6.548611e-03,0.000000e+00,2.592612e-02,5.910346e-01,12.712059,0.591742,0.025926,0.617668
1.436454e+04,0.000000e+00,3.871783e-02,3.286494e-03,8.466557e-04,2.323722e-04,3.326384e-01,3.794644e-03,5.863109e-03,0.000000e+00,2.684513e-02,5.877754e-01,12.712056,0.588776,0.026845,0.615621
1.556248e+04,0.000000e+00,4.202253e-02,4.619280e-03,1.353758e-03,2.602471e-04,3.313589e-01,3.366240e-03,5.201181e-03,0.000000e+00,2.775419e-02,5.840637e-01,12.712188,0.585470,0.027754,0.613225
1.686033e+04,0.000000e+00,4.550247e-02,6.438404e-03,2.045992e-03,2.914277e-04,3.297441e-01,2.956516e-03,4.568116e-03,0.000000e+00,2.865764e-02,5.797953e-01,12.712473,0.581756,0.028658,0.610414
1.826641e+04,0.000000e+00,4.916165e-02,8.884259e-03,2.977451e-03,3.262962e-04,3.277030e-01,2.568709e-03,3.968915e-03,0.000000e+00,2.956281e-02,5.748469e-01,12.712925,0.577552,0.029563,0.607115
1.978975e+04,0.000000e+00,5.300378e-02,1.211565e-02,4.209558e-03,3.652762e-04,3.251322e-01,2.205753e-03,3.408112e-03,0.000000e+00,3.047982e-02,5.690799e-01,12.713554,0.572769,0.030480,0.603249
2.144014e+04,0.000000e+00,5.703219e-02,1.630050e-02,5.807548e-03,4.088370e-04,3.219225e-01,1.870172e-03,2.889605e-03,0.000000e+00,3.142087e-02,5.623477e-01,12.714368,0.567312,0.031421,0.598733
